 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 4 4 3 1 0.5926282379
 4 4 3 1 0.5926282379
 4 4 1 3 0.5926282379
 4 4 1 3 0.5926282379
 3 1 4 4 0.5926282379
 3 1 4 4 0.5926282379
 1 3 4 4 0.5926282379
 1 3 4 4 0.5926282379
 4 4 3 3 5.4733368044
 3 3 4 4 5.4733368044
 4 4 4 0 -0.0290642329
 4 4 4 0 -0.0290642329
 4 4 0 4 -0.0290642329
 4 4 0 4 -0.0290642329
 4 0 4 4 -0.0290642329
 4 0 4 4 -0.0290642329
 0 4 4 4 -0.0290642329
 0 4 4 4 -0.0290642329
 4 4 4 2 -0.3788990796
 4 4 4 2 -0.3788990796
 4 4 2 4 -0.3788990796
 4 4 2 4 -0.3788990796
 4 2 4 4 -0.3788990796
 4 2 4 4 -0.3788990796
 2 4 4 4 -0.3788990796
 2 4 4 4 -0.3788990796
 4 4 4 4 5.4733368044
 5 0 1 0 0.1263749704
 0 5 1 0 0.1263749704
 5 0 0 1 0.1263749704
 0 5 0 1 0.1263749704
 1 0 5 0 0.1263749704
 1 0 0 5 0.1263749704
 0 1 5 0 0.1263749704
 0 1 0 5 0.1263749704
 5 0 2 1 0.1830765583
 0 5 2 1 0.1830765583
 5 0 1 2 0.1830765583
 0 5 1 2 0.1830765583
 2 1 5 0 0.1830765583
 2 1 0 5 0.1830765583
 1 2 5 0 0.1830765583
 1 2 0 5 0.1830765583
 5 0 3 0 -0.0901557745
 0 5 3 0 -0.0901557745
 5 0 0 3 -0.0901557745
 0 5 0 3 -0.0901557745
 3 0 5 0 -0.0901557745
 3 0 0 5 -0.0901557745
 0 3 5 0 -0.0901557745
 0 3 0 5 -0.0901557745
 5 0 3 2 0.0325622504
 0 5 3 2 0.0325622504
 5 0 2 3 0.0325622504
 0 5 2 3 0.0325622504
 3 2 5 0 0.0325622504
 3 2 0 5 0.0325622504
 2 3 5 0 0.0325622504
 2 3 0 5 0.0325622504
 5 0 4 1 -0.2527960605
 0 5 4 1 -0.2527960605
 5 0 1 4 -0.2527960605
 0 5 1 4 -0.2527960605
 4 1 5 0 -0.2527960605
 4 1 0 5 -0.2527960605
 1 4 5 0 -0.2527960605
 1 4 0 5 -0.2527960605
 5 0 4 3 -0.1046215150
 0 5 4 3 -0.1046215150
 5 0 3 4 -0.1046215150
 0 5 3 4 -0.1046215150
 4 3 5 0 -0.1046215150
 4 3 0 5 -0.1046215150
 3 4 5 0 -0.1046215150
 3 4 0 5 -0.1046215150
 5 0 5 0 0.2870181222
 0 5 5 0 0.2870181222
